 已授权发明专利数量,已授权实用新型专利数量,已授权软著数量,成立年限,注册资本,参保人数,区域,营业收入,营业利润,股东企业成立年限,股东企业参保人数,股东企业注册资本,企业总的股东的数量,企业股东中个人股东的数量,企业股东发明专利数量,企业股东实用新型专利数量,企业股东软著数量,收入规模
0,0,0,10,60000,0,0,44310000,110000,,,,2,2,0,0,0,6
0,0,5,10,10000,60,0,,,,,,2,2,0,0,5,4
0,0,0,10,60000,14,0,,,,,,2,2,0,0,0,5
0,0,0,9,500000,11,0,,,,,,3,3,0,0,0,6
0,0,0,9,200000,5,0,,,18,6,50000000,1,0,0,0,0,6
0,0,0,9,30000,19,0,,,,,,2,2,0,0,0,6
0,0,0,9,1000,37,1,,,,,,2,2,0,11,0,5
2,0,0,23,3000,77,1,,,3,0,13530000,2,1,24,10,0,0
0,0,0,38,5000,458,1,,,,,,3,1,13,25,0,0
0,0,0,26,500000,23,0,,,18,6,50000000,3,2,0,0,0,4
0,0,0,8,2000,3,1,,,,,,2,2,0,0,0,0
0,0,0,8,20000,28,1,,,11,0,100000000,1,0,0,0,0,0
0,0,12,8,300,10,1,,,,,,3,3,0,0,12,5
0,0,0,7,500000,23,0,,,30,424,406520000,3,0,0,0,0,7
0,14,0,7,500,46,1,,,,,,2,2,2,14,0,0
0,0,0,12,500000,14,0,,,,,,2,2,0,0,0,5
0,0,0,12,50000,11,0,,,,,,3,3,0,0,0,6
0,0,0,12,200000,8,0,,,,,,2,2,0,0,0,3
0,0,0,12,70000,9,0,,,,,,3,3,0,0,0,5
0,0,0,11,2000,8,1,,,,,,4,4,0,0,0,0
0,0,0,11,5000,1,0,,,,,,2,2,0,0,0,6
0,0,0,11,50000,12,0,,,,,,2,2,0,0,0,6
0,0,0,11,300000,160,0,,,,,,2,0,0,0,0,7
0,0,0,11,200000,4,0,,,,,,1,0,0,0,0,6
0,0,0,11,20000,13,0,,,,,,1,1,0,0,0,7
0,0,0,11,140100,91,0,,,,,,2,2,0,1,0,5
0,0,2,10,1000,32,1,,,,,,3,3,0,0,2,5
0,0,2,10,1000,32,1,,,,,,3,3,0,0,2,5
0,0,0,15,100000,116,0,,,,,,2,2,0,0,0,5
0,0,0,15,80000,16,0,,,,,,11,11,0,5,0,6
0,0,0,14,100000,2,0,,,,,,4,2,0,0,0,6
0,0,0,14,100000,51,0,,,,,,2,2,0,0,0,7
0,0,0,20,108000,19,0,,,,,,2,2,0,0,0,2
0,0,0,16,200000,8,0,,,,,,2,2,0,0,0,6
0,0,0,6,100000,1,0,,,,,,1,1,0,0,0,7
0,0,0,6,50000,41,0,,,8,473,10000000,1,0,0,0,0,4
0,0,0,6,100000,10,0,,,,,,1,1,0,0,0,7
0,0,0,6,100000,20,0,,,,,,2,2,0,0,0,5
0,0,0,5,500000,2,0,,,,,,3,3,0,0,0,2
0,0,0,5,360000,12,0,,,,,,2,2,0,0,0,7
0,0,0,5,500,5,1,,,,,,4,4,0,2,0,0
0,0,0,5,200000,4,0,,,,,,4,4,0,0,0,7
0,0,0,4,10000,1,0,,,,,,1,1,0,0,0,5
0,0,0,4,50000,5,0,,,,,,1,1,0,0,0,5
0,0,0,4,100,0,1,,,,,,1,1,0,0,0,0
0,0,0,4,500,13,1,,,11,11,20000000,5,4,0,4,0,3
0,0,0,4,80000,163,0,,,,,,2,2,0,0,0,2
0,0,0,4,100,0,1,,,,,,2,2,0,0,0,0
0,0,0,3,500000,5,0,,,,,,3,2,0,0,0,5
0,0,0,3,200000,5,0,,,5,24,253170000,2,0,0,0,0,6
0,0,0,3,20000,18,0,,,,,,1,1,0,0,0,6
0,0,0,3,10000,0,0,,,,,,3,3,0,0,0,6
0,0,0,2,30000,0,0,,,,,,1,1,0,0,0,2
0,0,0,9,200800,39,0,,,,,,3,3,0,0,0,5
0,0,0,8,30000,2,0,,,,,,1,1,0,0,0,3
0,0,0,7,50000,18,0,,,6,6,500000000,1,0,0,0,0,5
0,0,0,12,150000,400,0,,,,,,1,1,0,0,0,7
0,0,0,12,50000,10,0,,,,,,2,2,0,0,0,3
0,0,0,12,100000,7,0,,,,,,1,1,0,0,0,7
0,0,0,12,30000,0,0,,,,,,2,2,0,0,0,2
0,0,1,11,500000,16,0,,,,,,2,0,0,0,1,5
0,0,0,11,100000,11,0,,,,,,2,2,0,0,0,3
0,0,0,11,400000,38,0,,,,,,3,3,0,0,0,6
0,0,0,15,30000,14,0,,,29,48,59000000,3,2,0,0,0,7
0,0,0,14,50000,0,0,,,,,,2,2,0,0,0,6
0,0,12,14,5050,21,0,,,,,,2,2,0,3,12,1
0,0,0,18,300,2,0,,,,,,0,0,0,0,0,6
0,0,0,16,201800,22,0,,,,,,10,10,0,0,0,5
0,0,0,6,200000,0,0,,,,,,1,1,0,0,0,7
0,0,1,5,10000,2,0,,,,,,2,2,0,0,1,6
0,0,0,5,50000,0,0,,,,,,2,2,0,0,0,4
0,0,0,4,300000,0,0,,,,,,2,2,0,0,0,5
0,0,0,3,100000,13,0,,,,,,2,1,0,0,0,5
0,0,0,2,50000,0,0,,,,,,2,2,0,0,0,6
0,0,0,2,30000,0,0,,,,,,1,1,0,0,0,6
0,27,0,33,6000,67,0,,,,,,3,3,3,27,0,5
0,7,10,8,690,28,0,,,,,,11,11,0,7,10,0
0,0,0,8,526000,2,0,,,8,115,50000000,3,0,0,0,0,6
0,0,0,7,10000,172,0,,,,,,4,4,4,8,0,0
0,0,0,12,100,24,0,,,,,,2,2,0,0,0,0
0,0,0,12,100,52,0,,,,,,3,3,4,10,0,0
0,0,0,12,100000,0,0,,,,,,3,3,0,0,0,7
0,0,0,11,20000,4,0,,,10,26,51000000,2,1,0,0,0,5
0,0,0,10,510000,26,0,,,,,,2,2,0,0,0,5
0,0,0,10,100000,7,0,,,,,,2,2,0,0,0,3
0,0,0,15,3000,0,0,,,,,,2,2,0,0,0,0
0,0,0,14,60000,9,0,,,,,,4,4,0,0,0,2
0,0,0,13,3000,0,0,,,,,,3,3,0,0,0,6
0,0,0,12,1000,62,0,,,,,,2,2,0,0,0,0
