label,v1,v2,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v44,v45,v46,v47,v48,v50,v51,v52,v53,v55,v56,v57,v58,v59,v60,v61,v62,v63
1,0,0.0,0.0,0,0,13.0,0,3,9,21,9,3,3,3,3,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,4,0.6,2,0.2,0.0,55.533,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1
1,0,0.0,0.0,9,9,76.0,0,0,0,0,0,6,12,18,6,0.0,0.0,174.74,-100.0,-100.0,-1.0,-1.0,0.0,50.0,-1.0,0.0,0.0,5824.62,-100.0,-100.0,-1.0,-1.0,200.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,4,0.9,2,0.8,-100.0,-100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5
1,0,0.0,0.0,0,0,90.0,0,0,0,8,0,1,1,1,1,4235.18,39732.32,42289.56,-1.0,-0.8809999999999999,0.6559999999999999,14.537,12268.15,0.0,-100.0,2951091.49,5283591.77,6944673.05,-0.3289999999999999,0.265,0.777,2.181,49072.6,-100.0,0.753,1.3030000000000002,0.0,-100.0,0.0,0.0,-100.0,0.0,0.002,-100.0,0.0,12,0.0,2,0.44,0.0,62.3,0.9,1.0,0.9,0.1,0.9,1.0,0.9,0.1
1,0,0.0,0.0,0,0,76.0,0,0,0,6,0,4,6,8,4,60140.36,307622.1,880557.36,-1.0,-0.757,-0.895,-0.4629999999999999,80490.39,0.0,-100.0,2004679.84,6695975.56,15712314.11,-1.0,-0.573,-0.778,-0.257,321961.54,-100.0,-0.21,-4.76,0.0,-100.0,0.0,0.0,-100.0,0.0,-100.0,-100.0,0.0,12,1.0,1,0.0,0.0,30.767,0.7000000000000001,0.5,0.7000000000000001,0.1,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.1
1,0,0.0,0.0,0,0,87.0,0,0,0,2,0,4,7,7,2,56803.46,572380.73,2037347.59,-0.259,-0.89,-0.902,-0.609,560144.31,0.0,-100.0,1356068.72,15381699.46,62606096.66,-0.753,-0.903,-0.926,-0.674,2240577.24,-100.0,0.595,1.311,0.013,0.013,0.59,1.551,-100.0,1.022,-100.0,-100.0,0.0,11,0.514,2,0.0279999999999999,0.0,190.133,0.9,0.5,1.0,0.1,0.8,0.3,1.0,0.1
1,0,0.0,0.0,3,3,90.0,0,0,0,3,0,0,1,5,0,8189.36,18026.68,24895.42,-0.965,-0.168,0.369,1.624,0.0,0.0,-100.0,316037.3,730154.9,1067056.96,-0.8009999999999999,-0.237,0.594,1.167,0.0,-100.0,0.715,1.398,-0.089,-0.1889999999999999,0.07,0.141,-100.0,0.148,-100.0,-100.0,0.0,12,0.9,2,0.8,0.0,60.933,0.7000000000000001,0.9,0.1,0.1,0.5,0.9,0.4,0.1
1,0,0.0,0.0,0,0,80.0,0,6,12,24,12,0,0,0,0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,0.55,0.765,0.0,-100.0,0.0,0.0,-100.0,0.0,0.03,-100.0,0.0,12,0.0,2,0.7,0.0,17.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1
1,0,0.0,0.0,0,0,90.0,0,0,0,6,0,3,9,14,3,243.44,243.44,2864.8,-1.0,-100.0,-0.907,-0.907,437.11,0.0,-100.0,8114.56,8114.56,95493.2,-1.0,-100.0,-0.907,-0.907,1748.44,-100.0,0.0,-100.0,-0.005,-0.027,0.088,0.177,-100.0,-100.0,-100.0,-100.0,0.0,9,1.0,1,0.0,0.0,75.367,0.5,0.3,0.7000000000000001,0.1,0.3,0.2,0.6000000000000001,0.1
1,0,0.0,0.0,6,6,90.0,3,0,0,6,0,6,6,12,6,0.0,4066.02,4066.02,-100.0,-1.0,-100.0,-100.0,0.0,0.0,-100.0,0.0,135533.98,135533.98,-100.0,-1.0,-100.0,-100.0,0.0,-100.0,1.0,1.0,-100.0,-100.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,3,1.0,1,0.0,-100.0,-100.0,0.6000000000000001,0.1,0.1,0.1,0.5,0.1,0.4,0.1
1,0,0.0,0.304,0,0,75.0,2,0,0,2,0,6,11,16,6,0.0,13375.42,53248.9,-100.0,-1.0,-1.0,-0.665,0.0,0.0,-100.0,0.0,445847.8,1776724.48,-100.0,-1.0,-1.0,-0.665,0.0,-100.0,0.2739999999999999,4.093,0.0,-100.0,0.0,0.0,-100.0,0.0,-100.0,-100.0,0.0,12,0.94,2,0.88,0.0,283.6,0.4,0.4,0.1,0.1,0.3,0.4,0.3,0.1
1,0,0.0,0.0,0,0,82.0,0,2,2,8,2,3,3,6,2,0.0,3786.4,5557.28,-100.0,-1.0,-100.0,-100.0,0.0,0.0,-100.0,0.0,126213.6,185242.74,-100.0,-1.0,-100.0,-100.0,0.0,-100.0,1.0759999999999998,0.929,-0.0,-100.0,0.0,0.0,-100.0,0.0,-100.0,-100.0,0.001,11,0.5,2,0.0,0.0,33.333,0.5,0.1,0.1,0.1,0.4,0.1,0.3,0.1
1,0,0.0,0.0,0,0,90.0,1,3,9,21,9,0,0,0,0,189611.58,189611.58,189611.58,-100.0,-100.0,-100.0,-100.0,0.0,0.0,-100.0,1611945.74,1611945.74,1611945.74,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,0.247,0.581,0.0,-100.0,0.0,0.0,-100.0,0.0,-100.0,-100.0,0.0,12,0.9,2,0.8,0.0,144.2,0.7000000000000001,0.1,0.1,0.1,0.5,0.1,0.4,0.1
1,0,0.0,0.2319999999999999,0,0,89.0,0,0,0,0,0,6,12,15,6,0.0,0.0,136328.16,-100.0,-100.0,-1.0,-1.0,3053.78,2035.83,0.5,0.0,0.0,4544271.9,-100.0,-100.0,-1.0,-1.0,20358.42,1.5,0.0,-100.0,0.0,-100.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,4,0.7,2,0.4,-100.0,-100.0,0.1,0.1,0.8,0.6000000000000001,0.1,0.1,0.8,0.7000000000000001
1,2,443.09,0.25,0,0,87.0,2,0,5,17,5,3,4,4,1,94070.64,94070.64,94070.64,1.058,-100.0,-100.0,-100.0,0.0,0.0,-100.0,1256192.2,1256192.2,1256192.2,0.217,-100.0,-100.0,-100.0,0.0,-100.0,1.279,0.782,-0.0,-100.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,0.0,12,0.9,2,0.8,-100.0,-100.0,0.6000000000000001,0.1,0.1,0.1,0.5,0.1,0.4,0.1
