target,ExternalRiskEstimate_1 <64.0,ExternalRiskEstimate_2 64.0<=X<68.0,ExternalRiskEstimate_3 68.0<=X<74.0,ExternalRiskEstimate_4 74.0<=X<84.0,ExternalRiskEstimate >=84.0,ExternalRiskEstimate_-7,ExternalRiskEstimate_-8,ExternalRiskEstimate_-9,MSinceOldestTradeOpen_1 <70.0,MSinceOldestTradeOpen_2 70.0<=X<140.0,MSinceOldestTradeOpen_3 140.0<=X<270.0,MSinceOldestTradeOpen >=270.0,MSinceOldestTradeOpen_-7,MSinceOldestTradeOpen_-8,MSinceOldestTradeOpen_-9,MSinceMostRecentTradeOpen_1 <2.0,MSinceMostRecentTradeOpen_2 2.0<=X<10.0,MSinceMostRecentTradeOpen_3 10.0<=X<20.0,MSinceMostRecentTradeOpen >=20.0,MSinceMostRecentTradeOpen_-7,MSinceMostRecentTradeOpen_-8,MSinceMostRecentTradeOpen_-9,AverageMInFile_1 <30.0,AverageMInFile_2 30.0<=X<50.0,AverageMInFile_3 50.0<=X<65.0,AverageMInFile_4 65.0<=X<90.0,AverageMInFile >=90.0,AverageMInFile_-7,AverageMInFile_-8,AverageMInFile_-9,NumSatisfactoryTrades_1 <6.0,NumSatisfactoryTrades_2 6.0<=X<13.0,NumSatisfactoryTrades_3 13.0<=X<19.0,NumSatisfactoryTrades_4 19.0<=X<25.0,NumSatisfactoryTrades >=25.0,NumSatisfactoryTrades_-7,NumSatisfactoryTrades_-8,NumSatisfactoryTrades_-9,NumTrades60Ever2DerogPubRec_1 <1.0,NumTrades60Ever2DerogPubRec_2 1.0<=X<2.0,NumTrades60Ever2DerogPubRec >=2.0,NumTrades60Ever2DerogPubRec_-7,NumTrades60Ever2DerogPubRec_-8,NumTrades60Ever2DerogPubRec_-9,NumTrades90Ever2DerogPubRec_1 <1.0,NumTrades90Ever2DerogPubRec_2 1.0<=X<2.0,NumTrades90Ever2DerogPubRec >=2.0,NumTrades90Ever2DerogPubRec_-7,NumTrades90Ever2DerogPubRec_-8,NumTrades90Ever2DerogPubRec_-9,PercentTradesNeverDelq_1 <85.0,PercentTradesNeverDelq_2 85.0<=X<89.0,PercentTradesNeverDelq_3 89.0<=X<96.0,PercentTradesNeverDelq >=96.0,PercentTradesNeverDelq_-7,PercentTradesNeverDelq_-8,PercentTradesNeverDelq_-9,MSinceMostRecentDelq_1 <8.0,MSinceMostRecentDelq_2 8.0<=X<18.0,MSinceMostRecentDelq_3 18.0<=X<46.0,MSinceMostRecentDelq >=46.0,MSinceMostRecentDelq_-7,MSinceMostRecentDelq_-8,MSinceMostRecentDelq_-9,MaxDelq2PublicRecLast12M_1 <4.0,MaxDelq2PublicRecLast12M_2 4.0<=X<6.0,MaxDelq2PublicRecLast12M_3 6.0<=X<7.0,MaxDelq2PublicRecLast12M >=7.0,MaxDelq2PublicRecLast12M_-7,MaxDelq2PublicRecLast12M_-8,MaxDelq2PublicRecLast12M_-9,MaxDelqEver_1 <3.0,MaxDelqEver_2 3.0<=X<7.0,MaxDelqEver >=7.0,MaxDelqEver_-7,MaxDelqEver_-8,MaxDelqEver_-9,NumTotalTrades_1 <8.0,NumTotalTrades_2 8.0<=X<14.0,NumTotalTrades_3 14.0<=X<18.0,NumTotalTrades_4 18.0<=X<28.0,NumTotalTrades >=28.0,NumTotalTrades_-7,NumTotalTrades_-8,NumTotalTrades_-9,NumTradesOpeninLast12M_1 <1.0,NumTradesOpeninLast12M_2 1.0<=X<3.0,NumTradesOpeninLast12M_3 3.0<=X<4.0,NumTradesOpeninLast12M >=4.0,NumTradesOpeninLast12M_-7,NumTradesOpeninLast12M_-8,NumTradesOpeninLast12M_-9,PercentInstallTrades_1 <44.0,PercentInstallTrades_2 44.0<=X<50.0,PercentInstallTrades_3 50.0<=X<58.0,PercentInstallTrades >=58.0,PercentInstallTrades_-7,PercentInstallTrades_-8,PercentInstallTrades_-9,MSinceMostRecentInqexcl7days_1 <1.0,MSinceMostRecentInqexcl7days_2 1.0<=X<2.0,MSinceMostRecentInqexcl7days >=2.0,MSinceMostRecentInqexcl7days_-7,MSinceMostRecentInqexcl7days_-8,MSinceMostRecentInqexcl7days_-9,NumInqLast6M_1 <1.0,NumInqLast6M_2 1.0<=X<2.0,NumInqLast6M_3 2.0<=X<3.0,NumInqLast6M_4 3.0<=X<4.0,NumInqLast6M >=4.0,NumInqLast6M_-7,NumInqLast6M_-8,NumInqLast6M_-9,NumInqLast6Mexcl7days_1 <1.0,NumInqLast6Mexcl7days_2 1.0<=X<2.0,NumInqLast6Mexcl7days_3 2.0<=X<3.0,NumInqLast6Mexcl7days_4 3.0<=X<4.0,NumInqLast6Mexcl7days >=4.0,NumInqLast6Mexcl7days_-7,NumInqLast6Mexcl7days_-8,NumInqLast6Mexcl7days_-9,NetFractionRevolvingBurden_1 <15.0,NetFractionRevolvingBurden_2 15.0<=X<40.0,NetFractionRevolvingBurden_3 40.0<=X<55.0,NetFractionRevolvingBurden_4 55.0<=X<75.0,NetFractionRevolvingBurden >=75.0,NetFractionRevolvingBurden_-7,NetFractionRevolvingBurden_-8,NetFractionRevolvingBurden_-9,NetFractionInstallBurden_1 <65.0,NetFractionInstallBurden_2 65.0<=X<85.0,NetFractionInstallBurden >=85.0,NetFractionInstallBurden_-7,NetFractionInstallBurden_-8,NetFractionInstallBurden_-9,NumRevolvingTradesWBalance_1 <4.0,NumRevolvingTradesWBalance_2 4.0<=X<5.0,NumRevolvingTradesWBalance_3 5.0<=X<8.0,NumRevolvingTradesWBalance >=8.0,NumRevolvingTradesWBalance_-7,NumRevolvingTradesWBalance_-8,NumRevolvingTradesWBalance_-9,NumInstallTradesWBalance_1 <2.0,NumInstallTradesWBalance_2 2.0<=X<3.0,NumInstallTradesWBalance_3 3.0<=X<4.0,NumInstallTradesWBalance >=4.0,NumInstallTradesWBalance_-7,NumInstallTradesWBalance_-8,NumInstallTradesWBalance_-9,NumBank2NatlTradesWHighUtilization_1 <1.0,NumBank2NatlTradesWHighUtilization_2 1.0<=X<2.0,NumBank2NatlTradesWHighUtilization_3 2.0<=X<3.0,NumBank2NatlTradesWHighUtilization >=3.0,NumBank2NatlTradesWHighUtilization_-7,NumBank2NatlTradesWHighUtilization_-8,NumBank2NatlTradesWHighUtilization_-9,PercentTradesWBalance_1 <46.0,PercentTradesWBalance_2 46.0<=X<72.0,PercentTradesWBalance_3 72.0<=X<82.0,PercentTradesWBalance >=82.0,PercentTradesWBalance_-7,PercentTradesWBalance_-8,PercentTradesWBalance_-9
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
